Date,OriginCityName,CRSDepTime,DepTime,DepDelay
2015-04-09,Los Angeles,900,854.0,-6.0
2015-04-10,Los Angeles,900,853.0,-7.0
2015-04-11,Los Angeles,900,856.0,-4.0
2015-04-12,Los Angeles,900,857.0,-3.0
2015-04-13,Los Angeles,900,853.0,-7.0
2015-04-14,Los Angeles,900,856.0,-4.0
2015-04-15,Los Angeles,900,855.0,-5.0
2015-04-16,Los Angeles,900,852.0,-8.0
2015-04-17,Los Angeles,900,858.0,-2.0
2015-04-18,Los Angeles,900,859.0,-1.0
2015-04-19,Los Angeles,900,854.0,-6.0
2015-04-20,Los Angeles,900,920.0,20.0
2015-04-21,Los Angeles,900,1003.0,63.0
2015-04-22,Los Angeles,900,855.0,-5.0
2015-04-23,Los Angeles,900,852.0,-8.0
2015-04-24,Los Angeles,900,849.0,-11.0
2015-04-25,Los Angeles,900,857.0,-3.0
2015-04-26,Los Angeles,900,852.0,-8.0
2015-04-27,Los Angeles,900,901.0,1.0
2015-04-28,Los Angeles,900,855.0,-5.0
2015-04-29,Los Angeles,900,855.0,-5.0
2015-04-30,Los Angeles,900,851.0,-9.0
2015-05-01,Los Angeles,900,856.0,-4.0
2015-05-02,Los Angeles,900,854.0,-6.0
2015-05-03,Los Angeles,900,858.0,-2.0
2015-05-04,Los Angeles,900,850.0,-10.0
2015-05-05,Los Angeles,900,854.0,-6.0
2015-05-06,Los Angeles,900,856.0,-4.0
2015-05-07,Los Angeles,900,911.0,11.0
2015-05-08,Los Angeles,900,855.0,-5.0
2015-05-09,Los Angeles,900,918.0,18.0
2015-05-10,Los Angeles,900,857.0,-3.0
2015-05-11,Los Angeles,900,855.0,-5.0
2015-05-12,Los Angeles,900,1013.0,73.0
2015-05-13,Los Angeles,900,906.0,6.0
2015-05-14,Los Angeles,900,859.0,-1.0
2015-05-15,Los Angeles,900,858.0,-2.0
2015-05-16,Los Angeles,900,858.0,-2.0
2015-05-17,Los Angeles,900,852.0,-8.0
2015-05-18,Los Angeles,900,1041.0,101.0
2015-05-19,Los Angeles,900,1101.0,121.0
2015-05-20,Los Angeles,900,855.0,-5.0
2015-05-21,Los Angeles,900,853.0,-7.0
2015-05-22,Los Angeles,900,855.0,-5.0
2015-05-23,Los Angeles,900,858.0,-2.0
2015-05-25,Los Angeles,900,856.0,-4.0
2015-05-26,Los Angeles,900,903.0,3.0
2015-05-27,Los Angeles,900,907.0,7.0
2015-05-28,Los Angeles,900,852.0,-8.0
2015-05-29,Los Angeles,900,853.0,-7.0
2015-05-30,Los Angeles,900,852.0,-8.0
2015-05-31,Los Angeles,900,1242.0,222.0
2015-06-01,Los Angeles,900,957.0,57.0
2015-06-02,Los Angeles,900,858.0,-2.0
2015-06-03,Los Angeles,900,853.0,-7.0
2015-06-04,Los Angeles,900,907.0,7.0
2015-06-05,Los Angeles,900,856.0,-4.0
2015-06-06,Los Angeles,900,854.0,-6.0
