FlightDate,OriginCityName,CRSDepTime,DepTime,DepDelay
22-10-2015,Los Angeles,900,854,-6
23-10-2015,Los Angeles,900,858,-2
24-10-2015,Los Angeles,900,858,-2
25-10-2015,Los Angeles,900,857,-3
26-10-2015,Los Angeles,900,854,-6
27-10-2015,Los Angeles,900,859,-1
28-10-2015,Los Angeles,900,1050,110
29-10-2015,Los Angeles,900,851,-9
30-10-2015,Los Angeles,900,855,-5
31-10-2015,Los Angeles,900,902,2
01-11-2015,Los Angeles,900,902,2
02-11-2015,Los Angeles,900,852,-8
03-11-2015,Los Angeles,900,853,-7
04-11-2015,Los Angeles,900,857,-3
05-11-2015,Los Angeles,900,853,-7
06-11-2015,Los Angeles,900,856,-4
07-11-2015,Los Angeles,900,857,-3
